Beat_Index,Time_s,Original_RR_ms,Cleaned_RR_ms,Instant_HR_BPM
98,78.05,714,714,84.0336134453782
99,78.794,744,744,80.6451612903226
100,79.628,834,834,71.9424460431655
101,80.488,860,860,69.7674418604651
102,81.344,856,856,70.0934579439252
103,82.182,838,838,71.5990453460621
104,82.96,778,778,77.120822622108
105,83.716,756,756,79.3650793650794
106,84.494,778,778,77.120822622108
107,85.348,854,854,70.2576112412178
108,86.25,902,902,66.5188470066519
109,87.14,890,890,67.4157303370787
110,88.02,880,880,68.1818181818182
111,88.82,800,800,75
112,89.586,766,766,78.3289817232376
113,90.346,760,760,78.9473684210526
114,91.122,776,776,77.319587628866
115,91.914,792,792,75.7575757575758
116,92.756,842,842,71.2589073634204
117,93.476,720,720,83.3333333333333
118,94.186,710,710,84.5070422535211
119,94.92,734,734,81.7438692098093
120,95.692,772,772,77.720207253886
121,96.518,826,826,72.6392251815981
122,97.376,858,858,69.9300699300699
123,98.226,850,850,70.5882352941177
124,99.02,794,794,75.5667506297229
125,99.772,752,752,79.7872340425532
126,100.524,752,752,79.7872340425532
127,101.266,742,742,80.8625336927224
128,102.04,774,774,77.5193798449612
129,102.834,794,794,75.5667506297229
130,103.612,778,778,77.120822622108
131,104.366,754,754,79.5755968169761
132,105.088,722,722,83.1024930747922
133,105.784,696,696,86.2068965517241
134,106.452,668,668,89.8203592814371
135,107.104,652,652,92.0245398773006
136,107.742,638,638,94.0438871473354
137,108.37,628,628,95.5414012738854
138,108.986,616,616,97.4025974025974
139,109.604,618,618,97.0873786407767
140,110.224,620,620,96.7741935483871
141,110.858,634,634,94.6372239747634
142,111.5,642,642,93.4579439252336
143,112.158,658,658,91.1854103343465
144,112.834,676,676,88.7573964497041
145,113.522,688,688,87.2093023255814
146,114.216,694,694,86.4553314121037
147,114.924,708,708,84.7457627118644
148,115.64,716,716,83.7988826815643
149,116.37,730,730,82.1917808219178
150,117.094,724,724,82.8729281767956
151,117.818,724,724,82.8729281767956
152,118.55,732,732,81.9672131147541
153,119.284,734,734,81.7438692098093
154,120.022,738,738,81.3008130081301
155,120.764,742,742,80.8625336927224
156,121.508,744,744,80.6451612903226
157,122.264,756,756,79.3650793650794
158,122.99,726,726,82.6446280991736
159,123.702,712,712,84.2696629213483
160,124.444,742,742,80.8625336927224
161,125.18,736,736,81.5217391304348
162,125.882,702,702,85.4700854700855
163,126.574,692,692,86.7052023121387
164,127.318,744,744,80.6451612903226
165,128.166,848,848,70.7547169811321
166,129.078,912,912,65.7894736842105
167,130.006,928,928,64.6551724137931
168,130.872,866,866,69.284064665127
169,131.688,816,816,73.5294117647059
170,132.518,830,830,72.289156626506
171,133.394,876,876,68.4931506849315
172,134.276,882,882,68.0272108843537
173,135.132,856,856,70.0934579439252
174,135.92,788,788,76.1421319796954
175,136.674,754,754,79.5755968169761
176,137.42,746,746,80.4289544235925
177,138.176,756,756,79.3650793650794
178,138.962,786,786,76.3358778625954
179,139.754,792,792,75.7575757575758
180,140.546,792,792,75.7575757575758
181,141.296,750,750,80
182,142.018,722,722,83.1024930747922
183,142.756,738,738,81.3008130081301
184,143.552,796,796,75.3768844221105
185,144.418,866,866,69.284064665127
186,145.304,886,886,67.7200902934537
187,146.174,870,870,68.9655172413793
188,146.992,818,818,73.3496332518337
189,147.808,816,816,73.5294117647059
190,148.632,824,824,72.8155339805825
191,149.496,864,864,69.4444444444444
192,150.362,866,866,69.284064665127
193,151.18,818,818,73.3496332518337
194,151.938,758,758,79.155672823219
195,152.664,726,726,82.6446280991736
196,153.388,724,724,82.8729281767956
197,154.144,756,756,79.3650793650794
198,154.95,806,806,74.4416873449131
199,155.768,818,818,73.3496332518337
200,156.566,798,798,75.187969924812
201,157.324,758,758,79.155672823219
202,158.03,706,706,84.985835694051
203,158.72,690,690,86.9565217391304
204,159.412,692,692,86.7052023121387
205,160.142,730,730,82.1917808219178
206,160.954,812,812,73.8916256157635
207,161.772,818,818,73.3496332518337
208,162.524,752,752,79.7872340425532
209,163.246,722,722,83.1024930747922
210,163.952,706,706,84.985835694051
211,164.678,726,726,82.6446280991736
212,165.434,756,756,79.3650793650794
213,166.188,754,754,79.5755968169761
214,166.91,722,722,83.1024930747922
215,167.604,694,694,86.4553314121037
216,168.268,664,664,90.3614457831325
217,168.908,640,640,93.75
218,169.526,618,618,97.0873786407767
219,170.126,600,600,100
220,170.71,584,584,102.739726027397
221,171.282,572,572,104.895104895105
222,171.846,564,564,106.382978723404
223,172.406,560,560,107.142857142857
224,172.96,554,554,108.303249097473
225,173.508,548,548,109.489051094891
226,174.052,544,544,110.294117647059
227,174.59,538,538,111.524163568773
228,175.134,544,544,110.294117647059
229,175.678,544,544,110.294117647059
230,176.232,554,554,108.303249097473
231,176.8,568,568,105.633802816901
232,177.384,584,584,102.739726027397
233,177.984,600,600,100
234,178.602,618,618,97.0873786407767
235,179.236,634,634,94.6372239747634
236,179.882,646,646,92.8792569659443
237,180.54,658,658,91.1854103343465
