Beat_Index,Time_s,Original_RR_ms,Cleaned_RR_ms,Instant_HR_BPM
379,285.274,742,742,80.8625336927224
380,286.044,770,770,79.5755968169761
381,286.798,754,754,79.5755968169761
382,287.542,744,744,80.6451612903226
383,288.272,730,730,82.1917808219178
384,288.988,716,716,83.7988826815643
385,289.696,708,708,84.7457627118644
386,290.398,702,702,85.4700854700855
387,291.096,698,698,85.4700854700855
388,291.798,702,702,85.4700854700855
389,292.518,720,720,83.3333333333333
390,293.256,738,738,81.3008130081301
391,294.018,762,762,78.740157480315
392,294.812,794,794,75.5667506297229
393,295.616,804,804,75.3768844221105
394,296.412,796,796,75.3768844221105
395,297.208,796,796,75.3768844221105
396,297.994,786,786,76.1421319796954
397,298.782,788,788,76.1421319796954
398,299.582,800,800,75.9493670886076
399,300.372,790,790,75.187969924812
400,301.17,798,798,75.5667506297229
401,301.964,794,794,75.5667506297229
402,302.758,794,794,75.5667506297229
403,303.546,788,788,75.5667506297229
404,304.36,814,814,75.5667506297229
405,305.154,794,794,75.5667506297229
406,305.906,752,752,78.740157480315
407,306.668,762,762,78.740157480315
408,307.454,786,786,76.3358778625954
409,308.268,814,814,73.7100737100737
410,309.104,836,836,73.7100737100737
411,309.888,784,784,76.530612244898
412,310.666,778,778,77.120822622108
413,311.44,774,774,77.5193798449612
414,312.214,774,774,77.5193798449612
415,312.984,770,770,77.9220779220779
416,313.746,762,762,78.740157480315
417,314.466,720,720,83.3333333333333
418,315.158,692,692,85.2272727272727
419,315.862,704,704,85.2272727272727
420,316.6,738,738,81.3008130081301
421,317.406,806,806,74.4416873449131
422,318.248,842,842,74.4416873449131
423,319.042,794,794,75.5667506297229
424,319.79,748,748,80.2139037433155
425,320.538,748,748,80.2139037433155
426,321.304,766,766,78.3289817232376
427,322.11,806,806,74.4416873449131
428,322.926,816,816,74.4416873449131
429,323.684,758,758,79.155672823219
430,324.396,712,712,84.2696629213483
431,325.1,704,704,85.2272727272727
432,325.804,704,704,85.2272727272727
433,326.536,732,732,81.9672131147541
434,327.288,752,752,81.9672131147541
435,328.018,730,730,82.1917808219178
436,328.708,690,690,86.9565217391304
437,329.386,678,678,88.4955752212389
438,330.062,676,676,88.4955752212389
439,330.77,708,708,84.7457627118644
